titulo,autor,paginas,genero,nota,leram,favoritos,ano_publicacao,genero_autor,pais_origem,sigla_pais,nota_renata,inicio_leitura,fim_leitura,dias_leitura,ano_fim_leitura,fic_nfic,M1F0,BR,gostei,fav_ind
As Crônicas de Nárnia,C. S. Lewis,752,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,211061,20291,1950,M,Irlanda,IRL,3.5,26/12/21,03/02/22,39.0,2022,1.0,1.0,0.0,1.0,0.09613808330293137
A Luz que Há Entre Nós,Thaís Fernandez,17,Contos / Romance ,3.3,4168,23,2019,F,Brasil,BRA,3.0,21/01/22,21/01/22,0.0,2022,1.0,0.0,1.0,0.0,0.005518234165067178
As infinitas vidas de Dylan Reynolds,Sarah Pires Barreirinhas,195,Ficção / Literatura Brasileira / Romance,4.3,31,12,2019,F,Brasil,BRA,3.5,18/12/21,28/12/21,10.0,2021,1.0,0.0,1.0,1.0,0.3870967741935484
O milagre da vela de Natal,Cinthia Wüstenhagen,14,Contos / Romance ,4.0,119,4,2019,F,Brasil,BRA,2.5,27/12/21,27/12/21,0.0,2021,1.0,0.0,1.0,0.0,0.03361344537815126
Anne e a Casa dos Sonhos,L. M. Montgomery,256,Infantojuvenil ,4.2,15460,929,1917,F,Canadá,CAN,3.5,17/12/21,26/12/21,9.0,2021,1.0,0.0,0.0,1.0,0.06009055627425614
Anne de Windy Poplars,L. M. Montgomery,288,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,3.6,18631,404,1936,F,Canadá,CAN,3.0,25/10/21,09/12/21,45.0,2021,1.0,0.0,0.0,0.0,0.021684289624818852
Memórias de um Pretinho de Angola,Suely Cyrino,298,"Biografia, Autobiografia, Memórias ",4.2,1,0,2009,F,Brasil,BRA,3.5,01/10/21,31/10/21,30.0,2021,0.0,0.0,1.0,1.0,0.0
Anne de Avonlea,L. M. Montgomery,288,Infantojuvenil / Literatura Estrangeira ,4.0,35291,1300,1909,F,Canadá,CAN,3.5,01/10/21,15/10/21,14.0,2021,1.0,0.0,0.0,1.0,0.03683658723187215
Anne da Ilha,L. M. Montgomery,256,Ficção / Infantil / Infantojuvenil / Literatura Estrangeira / Romance ,4.2,28287,1738,1915,F,Canadá,CAN,3.5,10/09/21,04/10/21,24.0,2021,1.0,0.0,0.0,1.0,0.06144165164209708
Memórias de um Exu Sete Catacumbas,Suely Cyrino,194,"Biografia, Autobiografia, Memórias ",4.6,8,2,2006,F,Brasil,BRA,3.5,01/09/21,30/09/21,29.0,2021,0.0,0.0,1.0,1.0,0.25
Anne de Green Gables,L. M. Montgomery,336,Romance / Literatura Estrangeira / Ficção ,4.2,68191,5801,1908,F,Canadá,CAN,5.0,,16/09/21,,2021,1.0,0.0,0.0,1.0,0.08506987725652945
O Conto da Aia,Margaret Atwood,368,Distopia / Ficção / Literatura Estrangeira ,4.3,63969,7067,1985,F,Canadá,CAN,4.0,,28/07/21,,2021,1.0,0.0,0.0,1.0,0.11047538651534337
Torto arado,Itamar Vieira Junior,264,Ficção / Literatura Brasileira / Romance ,4.6,31795,4429,2019,M,Brasil,BRA,3.5,01/06/21,16/07/21,45.0,2021,1.0,1.0,1.0,1.0,0.1392986318603554
