titulo,autor,paginas,genero,nota,leram,favoritos,ano_publicacao,genero_autor,pais_origem,sigla_pais,nota_renata,inicio_leitura,fim_leitura,dias_leitura,ano_fim_leitura
As coisas que você só vê quando desacelera,Haemin Sunim,256,Literatura Estrangeira / Religião e Espiritualidade / Autoajuda / Não-ficção ,4.1,13630,868,2012,M,Coreia do Sul,KOR,5,29/10/22,16/12/22,48,2022
Um Conto de Natal,Charles Dickens,121,Fantasia / Ficção / Literatura Estrangeira ,4.2,15058,1271,1843,M,Reino Unido,GBR,3,11/12/22,15/12/22,4,2022
1984,George Orwell,336,Distopia / Ficção científica ,4.5,158972,17182,1949,M,Reino Unido,GBR,5,23/11/22,09/12/22,16,2022
Mulheres que Correm com os Lobos,Clarissa Pinkola Estés,576,História / Literatura Estrangeira / Psicologia / Sociologia ,4.3,12689,1905,1992,F,Estados Unidos,USA,4.5,21/03/22,24/11/22,248,2022
Cristianismo Puro e Simples,C. S. Lewis,288,Literatura Estrangeira ,4.6,13656,2262,1952,M,Irlanda,IRL,3,16/11/22,22/11/22,6,2022
O Sol é Para Todos,Harper Lee,364,Ficção / Literatura Estrangeira ,4.6,51216,9014,1960,F,Estados Unidos,USA,5,,21/11/22,,2022
A Preparação do Ator,Constantin Stanislavski,366,Artes ,4.4,1102,74,1936,M,Rússia,RUS,4,21/08/22,16/11/22,87,2022
O Castelo Animado,Diana Wynne Jones,368,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,12982,2819,1986,F,Reino Unido,GBR,4,12/10/22,28/10/22,16,2022
O Homem Mais Feliz do Mundo,Eddie Jaku,224,"Biografia, Autobiografia, Memórias / História Geral / Literatura Estrangeira / Não-ficção ",4.7,353,38,2019,M,Austrália,AUS,4.5,02/10/22,05/10/22,3,2022
A Biblioteca da Meia-Noite,Matt Haig,308,Ficção / Literatura Estrangeira / Romance ,4.3,49138,6591,2018,M,Reino Unido,GBR,2.5,26/09/22,01/10/22,5,2022
Antes que o café esfrie,Toshikazu Kawaguchi,208,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,4007,295,2015,M,Japão,JPN,3.5,19/09/22,25/09/22,6,2022
Um estudo em vermelho,Sir Arthur Conan Doyle,176,Ficção ,4.0,3028,106,1887,M,Reino Unido,GBR,3.5,01/09/22,19/09/22,18,2022
Anna Kariênina,Leon Tolstói,808,Ficção / Literatura Estrangeira / Romance / Drama ,4.5,6837,1414,1877,M,Rússia,RUS,4,28/05/22,15/09/22,110,2022
A Bandeira do Elefante e da Arara,Christopher Kastensmidt,326,Aventura / Fantasia / Ficção / História do Brasil / Literatura Brasileira / Romance / Suspense e Mistério ,3.9,89,4,2008,M,Brasil,BRA,3,09/08/22,08/09/22,30,2022
A Espera,Lygia Fagundes Telles,25,Contos / Literatura Brasileira ,3.6,2057,17,1953,F,Brasil,BRA,4,21/08/22,21/08/22,0,2022
O Grande Livro de Símbolos,Claudio Blanc,148,Esoterismo / Religião e Espiritualidade ,3.4,13,0,2017,M,Brasil,BRA,3,02/08/22,20/08/22,18,2022
O amanhã não está à venda,Ailton Krenak,22,Não-ficção ,4.3,13036,295,2018,M,Brasil,BRA,3.5,17/08/22,17/08/22,0,2022
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,348,Fantasia / Aventura / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,556726,52482,1999,F,Reino Unido,GBR,4.5,26/07/22,07/08/22,12,2022
Fahrenheit 451,Ray Bradbury,216,Distopia / Ficção científica / Literatura Estrangeira ,4.1,69272,6120,1953,M,Estados Unidos,USA,3.5,30/06/22,14/07/22,14,2022
Minha querida Sputnik,Haruki Murakami,232,Ficção / Literatura Estrangeira / Romance ,4.0,4107,387,1999,M,Japão,JPN,3.5,16/06/22,28/06/22,12,2022
O Morro dos Ventos Uivantes,Emily Brontë,362,Ficção / Romance / Literatura Estrangeira ,4.0,157040,14411,1847,F,Reino Unido,GBR,4,18/05/22,07/06/22,20,2022
A Viagem de Théo,Catherine Clément,625,Literatura Estrangeira / Ficção / Religião e Espiritualidade / Romance ,4.1,3056,311,1997,F,França,FRA,4,08/03/22,23/05/22,76,2022
Diga aos Lobos Que Estou em Casa,Carol Rifka Brunt,464,Literatura Estrangeira ,4.2,1914,355,2012,F,Estados Unidos,USA,3.5,26/03/22,13/05/22,48,2022
Anne de Ingleside,L. M. Montgomery,336,Infantojuvenil / Literatura Estrangeira / Romance ,3.9,13024,332,1939,F,Canadá,CAN,3,02/04/22,22/04/22,20,2022
Harry Potter e a Câmara Secreta,J.K. Rowling,252,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,604734,38165,1998,F,Reino Unido,GBR,4,,18/04/22,,2022
O Labirinto do Fauno,Guillermo del Toro,320,Fantasia / Ficção / Literatura Estrangeira ,4.4,14271,2072,2006,M,México,MEX,4,11/04/22,18/04/22,7,2022
Harry Potter and the Philosopher's Stone,J.K. Rowling,332,Fantasia / Infantojuvenil ,4.7,6965,1143,1997,F,Reino Unido,GBR,4.5,17/03/22,07/04/22,21,2022
O Deus que destrói sonhos,Rodrigo Bibo,160,Religião e Espiritualidade ,4.5,5332,412,2019,M,Brasil,BRA,2,26/03/22,31/03/22,5,2022
A Vila,Ana Carolina Kherlakian,176,Esoterismo / Filosofia / Literatura Estrangeira / Psicologia / Religião e Espiritualidade / Romance / Sociologia ,3.9,192,15,2019,F,Brasil,BRA,3,08/03/22,24/03/22,16,2022
Crime e Castigo,Fiódor Dostoiévski,572,Literatura Estrangeira / Ficção / Romance ,4.6,43898,6278,1866,M,Rússia,RUS,4,29/01/22,21/03/22,51,2022
Antropoceno,John Green,384,Ensaios / Literatura Estrangeira / Não-ficção ,4.1,1201,98,2021,M,Estados Unidos,USA,5,19/02/22,16/03/22,25,2022
As Crônicas de Nárnia,C. S. Lewis,752,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,211061,20291,1950,M,Irlanda,IRL,3.5,26/12/21,03/02/22,39,2022
A Luz que Há Entre Nós,Thaís Fernandez,17,Contos / Romance ,3.3,4168,23,2019,F,Brasil,BRA,3,21/01/22,21/01/22,0,2022
As infinitas vidas de Dylan Reynolds,Sarah Pires Barreirinhas,195,Ficção / Literatura Brasileira / Romance,4.3,31,12,2019,F,Brasil,BRA,3.5,18/12/21,28/12/21,10,2021
O milagre da vela de Natal,Cinthia Wüstenhagen,14,Contos / Romance ,4.0,119,4,2019,F,Brasil,BRA,2.5,27/12/21,27/12/21,0,2021
Anne e a Casa dos Sonhos,L. M. Montgomery,256,Infantojuvenil ,4.2,15460,929,1917,F,Canadá,CAN,3.5,17/12/21,26/12/21,9,2021
Anne de Windy Poplars,L. M. Montgomery,288,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,3.6,18631,404,1936,F,Canadá,CAN,3,25/10/21,09/12/21,45,2021
Memórias de um Pretinho de Angola,Suely Cyrino,298,"Biografia, Autobiografia, Memórias ",4.2,1,0,2009,F,Brasil,BRA,3.5,01/10/21,31/10/21,30,2021
Anne de Avonlea,L. M. Montgomery,288,Infantojuvenil / Literatura Estrangeira ,4.0,35291,1300,1909,F,Canadá,CAN,3.5,01/10/21,15/10/21,14,2021
Anne da Ilha,L. M. Montgomery,256,Ficção / Infantil / Infantojuvenil / Literatura Estrangeira / Romance ,4.2,28287,1738,1915,F,Canadá,CAN,3.5,10/09/21,04/10/21,24,2021
Memórias de um Exu Sete Catacumbas,Suely Cyrino,194,"Biografia, Autobiografia, Memórias ",4.6,8,2,2006,F,Brasil,BRA,3.5,01/09/21,30/09/21,29,2021
Anne de Green Gables,L. M. Montgomery,336,Romance / Literatura Estrangeira / Ficção ,4.2,68191,5801,1908,F,Canadá,CAN,5,,16/09/21,,2021
